                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.95501,                0.48061,                0.83022,                0.97079,                0.91355,                0.96767,                0.66958,                 1.0186,                0.51904,                0.85967,               0.004951,               0.004951,               0.004951
                     53,                0.95759,                0.48909,                0.81591,                0.95739,                0.95653,                0.97106,                0.71788,                0.89657,                0.46791,                0.84384,               0.004852,               0.004852,               0.004852
                     54,                0.97291,                0.48709,                0.82615,                0.97819,                0.97633,                 0.9845,                0.68666,                0.96783,                0.52885,                0.84826,               0.004753,               0.004753,               0.004753
                     55,                 0.9788,                0.49434,                0.84353,                0.97415,                0.98822,                0.98633,                0.70821,                0.95254,                0.49533,                0.85221,               0.004654,               0.004654,               0.004654
                     56,                0.94224,                0.46076,                0.83682,                0.96769,                0.97884,                0.98742,                0.70124,                0.97727,                 0.4964,                0.85177,               0.004555,               0.004555,               0.004555
                     57,                0.95172,                0.48437,                0.82806,                0.97258,                0.99855,                 0.9845,                0.68388,                 1.0528,                0.47608,                 0.8619,               0.004456,               0.004456,               0.004456
                     58,                0.95179,                0.47945,                0.84972,                0.95881,                      1,                0.99009,                0.71724,                0.97817,                0.47684,                0.85391,               0.004357,               0.004357,               0.004357
                     59,                0.92614,                0.47171,                0.83236,                0.96496,                0.99773,                 0.9925,                0.70333,                0.97621,                 0.5085,                0.84671,               0.004258,               0.004258,               0.004258
                     60,                0.90288,                0.46107,                0.83903,                0.97346,                0.99577,                0.99417,                0.72332,                0.93414,                0.48357,                 0.8469,               0.004159,               0.004159,               0.004159
                     61,                0.90235,                0.45595,                0.82787,                0.99551,                  0.993,                  0.995,                0.71498,                0.94365,                0.47907,                0.85408,                0.00406,                0.00406,                0.00406
                     62,                0.86217,                0.44634,                0.82263,                 0.9734,                0.96743,                0.97855,                0.71677,                 0.9177,                0.47408,                0.84798,               0.003961,               0.003961,               0.003961
                     63,                0.89389,                 0.4472,                0.82161,                0.97283,                0.96923,                  0.995,                0.69737,                 1.0055,                0.50118,                0.85299,               0.003862,               0.003862,               0.003862
                     64,                0.86178,                0.44782,                 0.8159,                 0.9742,                0.97671,                0.99214,                0.70533,                 0.9619,                0.46778,                0.84662,               0.003763,               0.003763,               0.003763
                     65,                0.89653,                0.44218,                0.82446,                 0.9956,                0.96368,                0.99389,                0.72743,                 0.8983,                0.47744,                0.83836,               0.003664,               0.003664,               0.003664
                     66,                0.89045,                0.45989,                0.82512,                 0.9694,                0.96173,                0.99158,                0.68906,                0.91605,                0.46653,                0.84282,               0.003565,               0.003565,               0.003565
                     67,                0.87637,                0.43359,                0.82934,                0.97001,                0.98169,                  0.989,                0.72949,                0.89458,                0.45964,                0.83989,               0.003466,               0.003466,               0.003466
                     68,                0.91841,                0.45491,                0.83037,                0.96311,                      1,                 0.9925,                 0.7253,                0.92767,                0.45211,                0.84339,               0.003367,               0.003367,               0.003367
                     69,                0.85881,                0.43394,                 0.8261,                0.97778,                0.95817,                  0.976,                0.75009,                0.87609,                0.45614,                 0.8413,               0.003268,               0.003268,               0.003268
                     70,                 0.8205,                  0.414,                0.81556,                0.96498,                0.99694,                0.99333,                0.73335,                0.88735,                0.44768,                0.84404,               0.003169,               0.003169,               0.003169
                     71,                0.85558,                0.44222,                0.80874,                0.94726,                 0.9773,                0.97157,                0.71217,                 0.9135,                0.44553,                0.84357,                0.00307,                0.00307,                0.00307
                     72,                 0.8632,                0.42851,                0.82072,                0.93322,                0.97573,                0.96116,                 0.7082,                0.92224,                 0.4615,                0.84418,               0.002971,               0.002971,               0.002971
                     73,                0.87534,                0.43483,                 0.8298,                0.94135,                0.97186,                 0.9625,                 0.6942,                0.96017,                0.45339,                0.84994,               0.002872,               0.002872,               0.002872
                     74,                0.81993,                0.43026,                0.81484,                0.95487,                 0.9903,                0.98017,                0.71167,                0.91551,                0.44451,                0.84753,               0.002773,               0.002773,               0.002773
                     75,                0.85288,                0.41569,                0.82438,                0.96235,                0.99464,                 0.9925,                0.71772,                0.90756,                0.44165,                0.84776,               0.002674,               0.002674,               0.002674
                     76,                0.83364,                0.42087,                 0.8174,                0.96766,                0.98204,                0.98842,                 0.7007,                0.90392,                0.44761,                0.84599,               0.002575,               0.002575,               0.002575
                     77,                0.82145,                0.41021,                0.80842,                0.97758,                0.98132,                0.98689,                0.73737,                0.84155,                0.44871,                0.83896,               0.002476,               0.002476,               0.002476
                     78,                0.76619,                0.40463,                0.80611,                0.98096,                0.98004,                0.98956,                0.73523,                0.86544,                0.43166,                0.84174,               0.002377,               0.002377,               0.002377
                     79,                  0.778,                0.40775,                0.80442,                0.95716,                0.90871,                0.96056,                0.72379,                0.88125,                 0.4608,                0.83981,               0.002278,               0.002278,               0.002278
                     80,                0.78484,                 0.4055,                0.80023,                0.94003,                0.97457,                0.96558,                 0.7216,                0.92614,                0.43283,                0.84598,               0.002179,               0.002179,               0.002179
