                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.88922,                0.43594,                0.81328,                0.92451,                 0.9697,                0.97217,                 0.7001,                 0.8128,                0.38493,                0.73721,               0.002971,               0.002971,               0.002971
                     73,                0.88654,                0.44992,                0.82533,                 0.9329,                0.96026,                0.97069,                0.70688,                0.79357,                0.39196,                0.73419,               0.002872,               0.002872,               0.002872
                     74,                0.88297,                0.44259,                0.83025,                0.93156,                 0.9697,                0.97135,                0.71019,                0.78729,                 0.4052,                0.73458,               0.002773,               0.002773,               0.002773
                     75,                0.87337,                 0.4314,                0.83037,                0.98313,                 0.9938,                  0.995,                 0.6887,                0.78106,                0.41564,                0.72982,               0.002674,               0.002674,               0.002674
                     76,                 0.8836,                0.43943,                0.82578,                0.99332,                0.99601,                  0.995,                0.70461,                0.85945,                 0.3958,                0.74392,               0.002575,               0.002575,               0.002575
                     77,                0.86695,                0.43029,                0.83004,                0.96603,                0.96739,                0.96817,                0.70027,                 0.9317,                0.41212,                0.76158,               0.002476,               0.002476,               0.002476
                     78,                0.83694,                0.41754,                0.80945,                0.99625,                0.99688,                  0.995,                0.69838,                0.85015,                0.40078,                0.74625,               0.002377,               0.002377,               0.002377
                     79,                0.84873,                0.42181,                0.82317,                0.99554,                      1,                  0.995,                0.70989,                0.79053,                0.39079,                0.73716,               0.002278,               0.002278,               0.002278
                     80,                0.89809,                0.42524,                0.81895,                0.98936,                      1,                  0.995,                 0.7084,                0.77519,                0.37238,                0.73176,               0.002179,               0.002179,               0.002179
                     81,                0.85638,                0.43624,                0.81978,                 0.9793,                      1,                  0.995,                0.69464,                0.77535,                0.38413,                0.73382,                0.00208,                0.00208,                0.00208
                     82,                0.81184,                0.41517,                0.81383,                0.96929,                0.99781,                  0.995,                0.72022,                 0.7683,                0.42791,                0.72337,               0.001981,               0.001981,               0.001981
                     83,                0.84933,                0.43331,                0.81991,                0.98307,                0.99731,                  0.995,                0.71358,                0.71431,                0.39288,                0.71227,               0.001882,               0.001882,               0.001882
                     84,                0.82481,                0.41727,                0.81352,                0.98392,                0.99559,                  0.995,                0.71746,                0.67834,                0.37153,                0.71187,               0.001783,               0.001783,               0.001783
                     85,                0.84124,                0.41665,                0.82049,                0.98568,                0.99102,                  0.995,                0.71552,                0.66457,                0.40022,                0.71023,               0.001684,               0.001684,               0.001684
                     86,                0.77517,                0.39294,                0.80541,                0.97834,                0.95865,                 0.9925,                0.68816,                0.68162,                0.35648,                0.71569,               0.001585,               0.001585,               0.001585
                     87,                0.83139,                0.42078,                0.81371,                0.98296,                0.95578,                 0.9925,                0.69944,                0.73783,                0.36456,                0.72396,               0.001486,               0.001486,               0.001486
                     88,                0.80347,                0.39577,                0.81547,                0.99319,                0.96248,                 0.9925,                0.68012,                0.72239,                0.36935,                0.72197,               0.001387,               0.001387,               0.001387
                     89,                0.81778,                0.41389,                 0.8023,                0.95794,                0.95016,                0.96727,                0.67828,                0.71603,                0.37001,                0.72074,               0.001288,               0.001288,               0.001288
                     90,                0.78297,                0.39821,                0.82561,                0.95947,                 0.9428,                0.96727,                0.68903,                0.72529,                0.39916,                0.72106,               0.001189,               0.001189,               0.001189
                     91,                0.76924,                0.39105,                0.81984,                0.96096,                0.92828,                0.96411,                0.68381,                0.75524,                 0.3951,                 0.7245,                0.00109,                0.00109,                0.00109
                     92,                0.77266,                0.39263,                0.80657,                0.92812,                0.96349,                 0.9676,                0.68152,                0.72628,                 0.3903,                0.72251,               0.000991,               0.000991,               0.000991
                     93,                0.74714,                0.37688,                0.79673,                0.95974,                0.99071,                  0.995,                0.68561,                 0.6806,                0.36228,                0.72119,               0.000892,               0.000892,               0.000892
                     94,                0.74482,                0.36464,                0.81152,                0.99504,                 0.9588,                  0.995,                0.67612,                0.69206,                 0.3671,                0.71765,               0.000793,               0.000793,               0.000793
                     95,                 0.7307,                0.36149,                0.81141,                0.96385,                0.96125,                 0.9925,                0.69067,                 0.7373,                0.37154,                0.72368,               0.000694,               0.000694,               0.000694
                     96,                0.70397,                0.34668,                 0.8219,                 0.9647,                 0.9608,                 0.9925,                0.69614,                0.73652,                0.36419,                0.72141,               0.000595,               0.000595,               0.000595
                     97,                0.79535,                0.36715,                0.81918,                0.93747,                0.93365,                0.96569,                0.68514,                0.74413,                0.38453,                0.72141,               0.000496,               0.000496,               0.000496
                     98,                0.74391,                0.37138,                0.80488,                0.94929,                      1,                 0.9925,                0.69175,                 0.7529,                 0.3652,                0.72043,               0.000397,               0.000397,               0.000397
                     99,                0.73111,                 0.3609,                0.83893,                0.95163,                      1,                 0.9925,                0.68322,                0.74077,                0.35457,                0.71896,               0.000298,               0.000298,               0.000298
